"codigo_del_sitio","weather_ts","n_records","temp_mean","temp_median","humidity_mean","humidity_median","dew_point_mean","dew_point_median","wind_speed_mean","wind_speed_median","wind_chill_mean","wind_chill_median","heat_index_mean","heat_index_median","bar_mean","bar_median","rain_mean","rain_median","rain_rate_mean","rain_rate_median","solar_rad_mean","solar_rad_median","solar_energy_mean","solar_energy_median","et_mean","et_median"
"RBMNN-AB-01","23/12/2024","75","23.122222222222224","22.555555555555554","88.92","91","70.226666666666659","70","0.16000000000000006","0","73.666666666666671","73","76.65333333333335","75","29.974946666666668","29.984","0","0","0","0","180.07999999999998","9","","","0.045773333333333333","0.064"
"RBMNN-AB-01","24/12/2024","71","22.621283255086073","22.944444444444443","89.140845070422515","90","69.380281690140819","70","0.29577464788732405","0","72.732394366197155","73","75.492957746478879","75","30.002239436619714","30.008","0","0","0","0","184.80281690140845","23","","","0.058830985915492962","0.084"
"RBMNN-AB-01","25/12/2024","80","21.660416666666663","21.222222222222221","89.862499999999969","92","67.91249999999998","68","0.21249999999999994","0","71.012499999999989","70","73.27500000000002","72","29.972137500000006","29.969","0","0","0","0","169.39999999999995","0","","","0.049100000000000005","0.075"
"RBMNN-AB-01","26/12/2024","70","21.765873015873012","22.611111111111111","88.457142857142841","87","67.64285714285711","68","0.42857142857142883","0","71.242857142857162","73","73.22857143","75","29.95195714285715","29.95","0","0","0","0","205.91428571428574","40","","","0.050114285714285729","0.073"
"RBMNN-AB-01","27/12/2024","81","20.972565157750346","20.666666666666668","87.691358024691382","91","65.938271604938265","67","0.22222222222222243","0","69.765432098765444","69","71.629629629629619","72","29.938469135802464","29.935","0","0","0","0","189.74074074074076","12","","","0.051370370370370379","0.073"
"RBMNN-AB-01","28/12/2024","76","20.467836257309941","20.833333333333332","88.44736842105263","90","65.328947368421055","66","0.30263157894736847","0","68.894736842105246","70","70.499999999999986","71","29.928078947368416","29.924","0","0","0","0","152.43421052631584","0","","","0.043289473684210523","0.063"
"RBMNN-AB-01","29/12/2024","74","20.479729729729737","20.500000000000004","85.52702702702706","89","64.175675675675677","65","0.32432432432432423","0","68.945945945945937","69","70.256756756756772","71","29.94151351351352","29.945","0","0","0","0","200.63513513513522","30","","","0.053027027027027017","0.074"
"RBMNN-AB-01","30/12/2024","75","21.089629629629624","20.833333333333332","85.133333333333354","90","65.080000000000013","66","0.36","0","70.026666666666657","70","71.586666666666687","72","29.942946666666657","29.945","0","0","0","0","194.65333333333319","28","","","0.060999999999999985","0.088"
"RBMNN-AB-01","31/12/2024","39","21.306267806267808","23.888888888888889","83.128205128205124","76","64.769230769230759","66","0.97435897435897456","1","70.38461538","75","71.769230769230774","76","29.964974358974359","29.958","0","0","0","0","344.94871794871784","475","","","0.026692307692307689","0.01"
"RBMNN-AB-01","01/01/2025","63","21.321869488536155","20.388888888888889","85.349206349206341","90","65.698412698412668","66","0.3174603174603175","0","70.41269841269839","69","72.111111111111086","71","29.918301587301581","29.907","0","0","0","0","185.84126984126996","0","","","0.063269841269841254","0.089"
